epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.072,1.07987,3.52468,1.63889,1.72507,0.89301,0.88235,0.91243,0.36919,0.80192,0.79186,0.75825,0.16054,2.46454,3.92208,1.93128,0.876,0.000664391,0.000664391,0.000664391
2,219.664,0.8451,3.18047,0.91281,1.53432,0.95596,0.9823,0.97997,0.55225,0.95789,0.97738,0.97488,0.48374,1.88382,2.94709,1.14829,0.96162,0.00129811,0.00129811,0.00129811
3,325.028,0.79148,3.13338,0.75476,1.48988,0.97001,0.96833,0.99052,0.69486,0.95613,0.95475,0.97969,0.54061,1.15355,2.86678,1.1221,0.36833,0.00189884,0.00189884,0.00189884
4,429.162,0.75665,3.11528,0.66078,1.44003,0.98533,0.97738,0.99034,0.45229,0.96323,0.95475,0.96472,0.40135,1.81777,2.96142,1.6629,0.61534,0.0018515,0.0018515,0.0018515
5,534.092,0.72992,3.06432,0.61087,1.40589,0.97656,0.99095,0.98956,0.67948,0.97205,0.98643,0.98471,0.54184,1.22594,2.99883,0.70705,0.321,0.001802,0.001802,0.001802
6,640.581,0.72393,3.08474,0.58763,1.39871,0.97972,1,0.99341,0.6904,0.97529,0.99548,0.98517,0.51653,1.24114,2.94474,0.96452,0.29943,0.0017525,0.0017525,0.0017525
7,746.81,0.70706,3.02831,0.56723,1.37554,0.9951,1,0.995,0.78802,0.98519,0.99095,0.98742,0.55299,1.12502,2.81855,0.9846,0.22049,0.001703,0.001703,0.001703
8,852.48,0.68949,3.01429,0.55708,1.36639,0.99941,1,0.995,0.79458,0.99489,0.99548,0.99138,0.57512,1.13381,2.79413,0.9031,0.2257,0.0016535,0.0016535,0.0016535
9,959.608,0.6914,3.0305,0.54183,1.3602,0.99439,1,0.995,0.77272,0.99439,1,0.995,0.52792,1.07553,2.88816,0.77103,0.21824,0.001604,0.001604,0.001604
10,1065.28,0.68014,2.97684,0.54806,1.36508,0.99018,1,0.99256,0.78138,0.9857,0.99548,0.98686,0.5464,1.05144,2.74106,0.65881,0.18964,0.0015545,0.0015545,0.0015545
11,1170.01,0.68448,3.01441,0.53424,1.35722,0.99955,1,0.995,0.79323,0.99503,0.99548,0.99224,0.56029,1.00521,2.78414,0.78553,0.12534,0.001505,0.001505,0.001505
12,1275.02,0.66433,2.96805,0.5304,1.33389,0.99493,1,0.99455,0.78928,0.98592,0.99095,0.98666,0.56524,1.00915,2.76248,0.68442,0.12709,0.0014555,0.0014555,0.0014555
13,1381.13,0.66344,2.95454,0.50748,1.33448,0.99575,1,0.995,0.69667,0.98674,0.99095,0.986,0.54781,1.05915,2.7492,0.93317,0.18811,0.001406,0.001406,0.001406
14,1486.58,0.66473,2.95803,0.52154,1.33117,0.99927,1,0.995,0.796,0.99475,0.99548,0.99242,0.57024,1.05666,2.71656,0.63844,0.16321,0.0013565,0.0013565,0.0013565
15,1591.67,0.64431,2.95451,0.49826,1.30537,0.99102,0.9988,0.995,0.79008,0.97755,0.98523,0.97961,0.40796,1.01598,3.29397,0.56225,0.184,0.001307,0.001307,0.001307
16,1696.93,0.64768,2.96375,0.50418,1.31783,0.99527,1,0.99455,0.78766,0.98205,0.99042,0.97952,0.5631,1.01788,2.69584,0.52637,0.13224,0.0012575,0.0012575,0.0012575
17,1802.07,0.65722,2.93534,0.50354,1.32191,0.99516,1,0.995,0.79359,0.99066,0.99548,0.99323,0.5697,0.99741,2.68225,0.53017,0.20103,0.001208,0.001208,0.001208
18,1907.08,0.66755,2.96089,0.51056,1.33486,0.99939,1,0.995,0.796,0.99487,0.99548,0.99382,0.56907,0.98958,2.68045,0.5774,0.16336,0.0011585,0.0011585,0.0011585
